model,n_customers,n_facilities,n_price_levels,lambda_budget,fixed_cost,objective_mean,objective_std,runtime_mean,runtime_std,gap_mean,gap_std,gap_percent_mean,gap_percent_std,opened_facilities_mean,served_customers_mean,service_rate_mean,served_demand_mean,revenue_mean,opening_cost_mean,lazy_mean,lazy_std,nodes_mean,nodes_std,best_bound_mean,num_vars_mean,num_constraints_mean,base_constraints_mean,effective_constraints_mean,optimal_cases,total_cases,optimal_rate
BBC-NoCuts,3,2,5,1.5,100,2255.601069236638,743.6768724845574,0.00140905380249018,0.0008497160057335865,0.0,0.0,0.0,0.0,1.4,3.0,1.0,159.45282522671613,2395.601069236638,140.0,0.0,0.0,1.0,0.0,2255.601069236638,42.0,48.0,48.0,48.0,5,5,100.0
BBC-NoCuts,3,2,5,1.5,200,2130.259809995869,759.6662166848822,0.0008141994476318,0.0008503255361942204,0.0,0.0,0.0,0.0,1.2,3.0,1.0,159.45282522671613,2370.259809995869,240.0,0.0,0.0,1.0,0.0,2130.259809995869,42.0,48.0,48.0,48.0,5,5,100.0
BBC-NoCuts,5,3,10,0.5,50,151.6947198997856,187.65271368743066,0.0005940437316894001,0.0005422856289300487,0.0,0.0,0.0,0.0,0.8,0.8,0.16,52.22693379108999,191.6947198997856,40.0,0.0,0.0,0.4,0.5477225575051661,151.6947198997856,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,0.5,100,119.30072160780419,163.3585410411984,0.0008542537689208601,0.0007653087840317123,0.0,0.0,0.0,0.0,0.6,0.6,0.12000000000000002,46.02993464509929,179.30072160780418,60.0,0.0,0.0,0.4,0.5477225575051661,119.30072160780419,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,0.5,200,61.32490268407444,132.00425166026957,0.0006519794464111,0.0005990045007233784,0.0,0.0,0.0,0.0,0.4,0.4,0.08,27.042025183234415,141.32490268407446,80.0,0.0,0.0,0.2,0.4472135954999579,61.32490268407444,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,50,1630.295859081679,661.7341053311378,0.0019783973693847197,0.00038122739396221695,0.0,0.0,0.0,0.0,2.2,3.8,0.76,216.17146002041636,1740.295859081679,110.0,0.0,0.0,1.0,0.0,1630.295859081679,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,100,1520.295859081679,649.004919340006,0.00165095329284664,0.0009419695479356277,0.0,0.0,0.0,0.0,2.2,3.8,0.76,216.17146002041636,1740.295859081679,220.0,0.0,0.0,1.0,0.0,1520.295859081679,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,200,1318.5287771845062,646.8098945109268,0.0016248226165770999,0.0009145156633868632,0.0,0.0,0.0,0.0,2.0,3.8,0.76,216.17146002041636,1718.5287771845062,400.0,0.0,0.0,1.0,0.0,1318.5287771845062,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.5,50,4535.742562488599,1325.800050788298,0.00225324630737298,0.00038461703359114985,0.0,0.0,0.0,0.0,2.2,4.8,0.96,258.15234331175054,4645.742562488598,110.0,0.0,0.0,1.0,0.0,4535.742562488599,183.0,217.8,217.8,217.8,5,5,100.0
BBC-NoCuts,5,3,10,1.5,100,4425.742562488598,1329.0587533648873,0.0026595115661620797,0.0025622564247085857,0.0,0.0,0.0,0.0,2.2,4.8,0.96,258.15234331175054,4645.742562488598,220.0,0.0,0.0,1.0,0.0,4425.742562488598,183.0,217.8,217.8,217.8,5,5,100.0
