model,formulation,seed,lambda_budget,fixed_cost,n_customers,n_facilities,n_price_levels,n_options,status,objective,runtime,mip_gap,gap_percent,solved_optimal,opened_facilities,served_customers,service_rate,served_demand,total_revenue,total_opening_cost,lazy_cuts_added,node_count,best_bound,num_vars,num_constraints,base_constraints,effective_constraints,use_cuts,force_open
BBC-NoCuts,bbc_no_cuts,5,0.5,50,15,5,10,50,2,611.1690460308646,0.002025604248046875,0.0,0.0,True,4,5,0.3333333333333333,301.67210458842476,811.1690460308646,200.0,0,1.0,611.1690460308646,805,1509,1509,1509,False,False
BBC,bbc,5,0.5,50,15,5,10,50,2,565.0200087048568,0.005830526351928711,0.0,0.0,True,3,4,0.26666666666666666,253.59758592542084,715.0200087048568,150.0,1,1.0,565.0200087048568,805,1509,1509,1510,True,False
BBC-Paper,bbc_paper,5,0.5,50,15,5,10,50,2,565.0200087048568,0.011508464813232422,0.0,0.0,True,3,4,0.26666666666666666,253.59758592542084,715.0200087048568,150.0,3,1.0,565.0200087048568,805,1510,1510,1513,True,True
BBC-NoCuts,bbc_no_cuts,5,0.5,100,15,5,10,50,2,415.0200087048567,0.0028951168060302734,0.0,0.0,True,3,4,0.26666666666666666,253.59758592542084,715.0200087048568,300.0,0,1.0,415.02000870485676,805,1509,1509,1509,False,False
BBC,bbc,5,0.5,100,15,5,10,50,2,415.02000870485676,0.0030210018157958984,0.0,0.0,True,3,4,0.26666666666666666,253.59758592542084,715.0200087048568,300.0,0,1.0,415.02000870485676,805,1509,1509,1509,True,False
BBC-Paper,bbc_paper,5,0.5,100,15,5,10,50,2,415.02000870485676,0.0035810470581054688,0.0,0.0,True,3,4,0.26666666666666666,253.59758592542084,715.0200087048568,300.0,0,1.0,415.02000870485676,805,1510,1510,1510,True,True
BBC-NoCuts,bbc_no_cuts,5,0.5,200,15,5,10,50,2,170.5440348159031,0.0030095577239990234,0.0,0.0,True,2,3,0.2,217.47859245318244,570.5440348159032,400.0,0,1.0,170.5440348159031,805,1509,1509,1509,False,False
BBC,bbc,5,0.5,200,15,5,10,50,2,170.5440348159031,0.0023212432861328125,0.0,0.0,True,2,3,0.2,217.47859245318244,570.5440348159032,400.0,0,1.0,170.5440348159031,805,1509,1509,1509,True,False
BBC-Paper,bbc_paper,5,0.5,200,15,5,10,50,2,170.5440348159031,0.001997232437133789,0.0,0.0,True,2,3,0.2,217.47859245318244,570.5440348159032,400.0,0,1.0,170.5440348159031,805,1510,1510,1510,True,True
BBC-NoCuts,bbc_no_cuts,5,1.0,50,15,5,10,50,2,5974.187133367531,0.003028392791748047,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,250.0,0,1.0,5974.187133367531,805,1396,1396,1396,False,False
BBC,bbc,5,1.0,50,15,5,10,50,2,5974.187133367531,0.005171060562133789,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,250.0,0,1.0,5974.18713336753,805,1396,1396,1396,True,False
BBC-Paper,bbc_paper,5,1.0,50,15,5,10,50,2,5974.187133367531,0.003765583038330078,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,250.0,0,1.0,5974.18713336753,805,1397,1397,1397,True,True
BBC-NoCuts,bbc_no_cuts,5,1.0,100,15,5,10,50,2,5724.18713336753,0.0032176971435546875,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,500.0,0,1.0,5724.18713336753,805,1396,1396,1396,False,False
BBC,bbc,5,1.0,100,15,5,10,50,2,5724.18713336753,0.0031473636627197266,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,500.0,0,1.0,5724.18713336753,805,1396,1396,1396,True,False
BBC-Paper,bbc_paper,5,1.0,100,15,5,10,50,2,5724.18713336753,0.0009887218475341797,0.0,0.0,True,5,13,0.8666666666666667,560.9876641148445,6224.18713336753,500.0,0,1.0,5724.18713336753,805,1397,1397,1397,True,True
BBC-NoCuts,bbc_no_cuts,5,1.0,200,15,5,10,50,2,5231.889058715515,0.0,0.0,0.0,True,4,13,0.8666666666666667,560.9876641148445,6031.889058715514,800.0,0,1.0,5231.889058715515,805,1396,1396,1396,False,False
BBC,bbc,5,1.0,200,15,5,10,50,2,5231.889058715515,0.0,0.0,0.0,True,4,13,0.8666666666666667,560.9876641148445,6031.889058715514,800.0,0,1.0,5231.889058715514,805,1396,1396,1396,True,False
BBC-Paper,bbc_paper,5,1.0,200,15,5,10,50,2,5231.889058715515,0.0031180381774902344,0.0,0.0,True,4,13,0.8666666666666667,560.9876641148445,6031.889058715514,800.0,0,1.0,5231.889058715514,805,1397,1397,1397,True,True
MILP-1,milp1,5,1.5,50,15,5,10,50,2,10649.511336951331,0.08490228652954102,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,150.0,0,1.0,10649.511336951331,805,1789,1789,1789,,
MILP-3,milp3,5,1.5,50,15,5,10,50,2,10649.511336951331,0.053630828857421875,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,150.0,0,1.0,10649.511336951333,805,1774,1774,1774,,
BBC-NoCuts,bbc_no_cuts,5,1.5,50,15,5,10,50,2,10835.08586522496,0.0051310062408447266,0.0,0.0,True,4,15,1.0,577.9215817652547,11035.08586522496,200.0,0,1.0,10835.085865224963,805,1039,1039,1039,False,False
BBC,bbc,5,1.5,50,15,5,10,50,2,10649.511336951331,0.008779525756835938,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,150.0,6,1.0,10649.511336951333,805,1039,1039,1045,True,False
BBC-Paper,bbc_paper,5,1.5,50,15,5,10,50,2,10649.511336951331,0.004225969314575195,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,150.0,6,1.0,10649.511336951333,805,1040,1040,1046,True,True
MILP-1,milp1,5,1.5,100,15,5,10,50,2,10499.511336951331,0.08392858505249023,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,300.0,0,1.0,10499.511336951331,805,1789,1789,1789,,
MILP-3,milp3,5,1.5,100,15,5,10,50,2,10499.511336951331,0.04325461387634277,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,300.0,0,1.0,10499.511336951333,805,1774,1774,1774,,
BBC-NoCuts,bbc_no_cuts,5,1.5,100,15,5,10,50,2,10638.366110991252,0.0,0.0,0.0,True,3,15,1.0,577.9215817652547,10938.366110991252,300.0,0,1.0,10638.366110991254,805,1039,1039,1039,False,False
BBC,bbc,5,1.5,100,15,5,10,50,2,10499.511336951331,0.003973484039306641,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,300.0,5,1.0,10499.511336951333,805,1039,1039,1044,True,False
BBC-Paper,bbc_paper,5,1.5,100,15,5,10,50,2,10499.511336951331,0.005807161331176758,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,300.0,5,1.0,10499.511336951333,805,1040,1040,1045,True,True
MILP-1,milp1,5,1.5,200,15,5,10,50,2,10199.511336951331,0.08591914176940918,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,600.0,0,1.0,10199.511336951331,805,1789,1789,1789,,
MILP-3,milp3,5,1.5,200,15,5,10,50,2,10199.511336951331,0.051340341567993164,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,600.0,0,1.0,10199.511336951333,805,1774,1774,1774,,
BBC-NoCuts,bbc_no_cuts,5,1.5,200,15,5,10,50,2,10338.366110991252,0.003724813461303711,0.0,0.0,True,3,15,1.0,577.9215817652547,10938.366110991252,600.0,0,1.0,10338.366110991254,805,1039,1039,1039,False,False
BBC,bbc,5,1.5,200,15,5,10,50,2,10199.511336951331,0.006203174591064453,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,600.0,7,1.0,10199.511336951333,805,1039,1039,1046,True,False
BBC-Paper,bbc_paper,5,1.5,200,15,5,10,50,2,10199.511336951331,0.004730224609375,0.0,0.0,True,3,15,1.0,577.9215817652547,10799.511336951331,600.0,4,1.0,10199.511336951333,805,1040,1040,1044,True,True
BBC-NoCuts,bbc_no_cuts,1,1.5,50,20,6,10,60,2,19354.945247793607,0.017279624938964844,0.0,0.0,True,5,20,1.0,994.5275054709837,19604.945247793603,250.0,0,1.0,19354.94524779361,1266,1750,1750,1750,False,False
BBC,bbc,1,1.5,50,20,6,10,60,2,19039.6602837888,0.022397279739379883,0.0,0.0,True,5,20,1.0,994.5275054709837,19289.660283788795,250.0,27,1.0,19039.6602837888,1266,1750,1750,1777,True,False
BBC-Paper,bbc_paper,1,1.5,50,20,6,10,60,2,19039.6602837888,0.021764278411865234,0.0,0.0,True,5,20,1.0,994.5275054709837,19289.660283788795,250.0,27,1.0,19039.6602837888,1266,1751,1751,1778,True,True
BBC-NoCuts,bbc_no_cuts,1,1.5,100,20,6,10,60,2,19104.945247793607,0.0,0.0,0.0,True,5,20,1.0,994.5275054709837,19604.945247793603,500.0,0,1.0,19104.94524779361,1266,1750,1750,1750,False,False
BBC,bbc,1,1.5,100,20,6,10,60,2,18789.6602837888,0.0170443058013916,1.766011851409401e-07,1.766011851409401e-05,True,5,20,1.0,994.5275054709837,19289.660283788795,500.0,27,1.0,18789.663602065073,1266,1750,1750,1777,True,False
BBC-Paper,bbc_paper,1,1.5,100,20,6,10,60,2,18789.6602837888,0.023715972900390625,1.766011851409401e-07,1.766011851409401e-05,True,5,20,1.0,994.5275054709837,19289.660283788795,500.0,27,1.0,18789.663602065073,1266,1751,1751,1778,True,True
BBC-NoCuts,bbc_no_cuts,1,1.5,200,20,6,10,60,2,18604.945247793607,0.0,0.0,0.0,True,5,20,1.0,994.5275054709837,19604.945247793603,1000.0,0,1.0,18604.94524779361,1266,1750,1750,1750,False,False
BBC,bbc,1,1.5,200,20,6,10,60,2,18289.660283788795,0.019660472869873047,1.8142908195260132e-07,1.8142908195260133e-05,True,5,20,1.0,994.5275054709837,19289.660283788795,1000.0,28,1.0,18289.66360206507,1266,1750,1750,1778,True,False
BBC-Paper,bbc_paper,1,1.5,200,20,6,10,60,2,18289.660283788795,0.020558595657348633,3.280772434804846e-07,3.280772434804846e-05,True,5,20,1.0,994.5275054709837,19289.660283788795,1000.0,31,1.0,18289.666284210125,1266,1751,1751,1782,True,True
BBC-NoCuts,bbc_no_cuts,2,1.5,50,20,6,10,60,2,23027.868903318686,0.0,0.0,0.0,True,4,20,1.0,1210.0976514447937,23227.868903318682,200.0,0,1.0,23027.868903318686,1266,1717,1717,1717,False,False
BBC,bbc,2,1.5,50,20,6,10,60,2,22202.55185138262,0.23636460304260254,0.0,0.0,True,4,19,0.95,1120.127592569131,22402.551851382617,200.0,106,1.0,22202.551851382625,1266,1717,1717,1823,True,False
BBC-Paper,bbc_paper,2,1.5,50,20,6,10,60,2,22202.55185138262,0.23657512664794922,0.0,0.0,True,4,19,0.95,1120.127592569131,22402.551851382617,200.0,102,5.0,22202.55185138262,1266,1718,1718,1820,True,True
BBC-NoCuts,bbc_no_cuts,2,1.5,100,20,6,10,60,2,22827.868903318686,0.0,0.0,0.0,True,4,20,1.0,1210.0976514447937,23227.868903318682,400.0,0,1.0,22827.868903318686,1266,1717,1717,1717,False,False
BBC,bbc,2,1.5,100,20,6,10,60,2,22002.55185138262,0.1282336711883545,0.0,0.0,True,4,19,0.95,1120.127592569131,22402.551851382617,400.0,103,1.0,22002.55185138262,1266,1717,1717,1820,True,False
BBC-Paper,bbc_paper,2,1.5,100,20,6,10,60,2,22002.55185138262,0.15347576141357422,7.181953534889289e-05,0.007181953534889289,True,4,19,0.95,1120.127592569131,22402.551851382617,400.0,102,1.0,22004.132064433077,1266,1718,1718,1820,True,True
BBC-NoCuts,bbc_no_cuts,2,1.5,200,20,6,10,60,2,22427.868903318686,0.005795478820800781,0.0,0.0,True,4,20,1.0,1210.0976514447937,23227.868903318682,800.0,0,1.0,22427.868903318686,1266,1717,1717,1717,False,False
BBC,bbc,2,1.5,200,20,6,10,60,2,21602.55185138262,0.06833004951477051,0.0,0.0,True,4,19,0.95,1120.127592569131,22402.551851382617,800.0,98,1.0,21602.55185138262,1266,1717,1717,1815,True,False
BBC-Paper,bbc_paper,2,1.5,200,20,6,10,60,2,21602.55185138262,0.07694816589355469,0.0,0.0,True,4,19,0.95,1120.127592569131,22402.551851382617,800.0,95,1.0,21602.55185138262,1266,1718,1718,1813,True,True
BBC-NoCuts,bbc_no_cuts,3,1.5,50,20,6,10,60,2,22798.757524318586,0.003998517990112305,0.0,0.0,True,6,20,1.0,1195.342678892713,23098.757524318586,300.0,0,1.0,22798.757524318586,1266,1837,1837,1837,False,False
BBC,bbc,3,1.5,50,20,6,10,60,2,21960.502719581036,0.07622885704040527,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,200.0,174,1.0,21960.50271958104,1266,1837,1837,2011,True,False
BBC-Paper,bbc_paper,3,1.5,50,20,6,10,60,2,21960.502719581036,0.08640217781066895,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,200.0,169,1.0,21960.502719581036,1266,1838,1838,2007,True,True
BBC-NoCuts,bbc_no_cuts,3,1.5,100,20,6,10,60,2,22498.757524318586,0.01791214942932129,0.0,0.0,True,6,20,1.0,1195.342678892713,23098.757524318586,600.0,0,1.0,22498.757524318586,1266,1837,1837,1837,False,False
BBC,bbc,3,1.5,100,20,6,10,60,2,21760.502719581036,0.08505511283874512,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,400.0,171,1.0,21760.502719581033,1266,1837,1837,2008,True,False
BBC-Paper,bbc_paper,3,1.5,100,20,6,10,60,2,21760.502719581036,0.14594507217407227,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,400.0,179,1.0,21760.502719581033,1266,1838,1838,2017,True,True
BBC-NoCuts,bbc_no_cuts,3,1.5,200,20,6,10,60,2,21898.757524318586,0.0,0.0,0.0,True,6,20,1.0,1195.342678892713,23098.757524318586,1200.0,0,1.0,21898.75752431859,1266,1837,1837,1837,False,False
BBC,bbc,3,1.5,200,20,6,10,60,2,21360.502719581036,0.05911087989807129,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,800.0,135,1.0,21360.502719581036,1266,1837,1837,1972,True,False
BBC-Paper,bbc_paper,3,1.5,200,20,6,10,60,2,21360.502719581036,0.05025219917297363,0.0,0.0,True,4,17,0.85,1108.0251359790518,22160.502719581036,800.0,140,1.0,21360.502719581036,1266,1838,1838,1978,True,True
BBC-NoCuts,bbc_no_cuts,4,1.5,50,20,6,10,60,2,16445.534288565566,0.005588531494140625,0.0,0.0,True,4,20,1.0,875.8194835983439,16645.534288565566,200.0,0,1.0,16445.534288565566,1266,1738,1738,1738,False,False
BBC,bbc,4,1.5,50,20,6,10,60,2,15865.927350560898,0.1722414493560791,0.0,0.0,True,4,17,0.85,812.4871888282343,16065.927350560898,200.0,155,13.0,15865.9273505609,1266,1738,1738,1893,True,False
BBC-Paper,bbc_paper,4,1.5,50,20,6,10,60,2,15865.927350560898,0.19568681716918945,0.0,0.0,True,4,17,0.85,812.4871888282343,16065.927350560898,200.0,174,7.0,15865.9273505609,1266,1739,1739,1913,True,True
BBC-NoCuts,bbc_no_cuts,4,1.5,100,20,6,10,60,2,16245.534288565566,0.0063097476959228516,0.0,0.0,True,4,20,1.0,875.8194835983439,16645.534288565566,400.0,0,1.0,16245.534288565568,1266,1738,1738,1738,False,False
BBC,bbc,4,1.5,100,20,6,10,60,2,15665.927350560898,0.19861578941345215,0.0,0.0,True,4,17,0.85,812.4871888282343,16065.927350560898,400.0,137,6.0,15665.927350560896,1266,1738,1738,1875,True,False
BBC-Paper,bbc_paper,4,1.5,100,20,6,10,60,2,15665.927350560898,0.1818532943725586,5.865627445227964e-09,5.865627445227964e-07,True,4,17,0.85,812.4871888282343,16065.927350560898,400.0,139,5.0,15665.927442451391,1266,1739,1739,1878,True,True
BBC-NoCuts,bbc_no_cuts,4,1.5,200,20,6,10,60,2,15845.534288565566,0.0,0.0,0.0,True,4,20,1.0,875.8194835983439,16645.534288565566,800.0,0,1.0,15845.534288565568,1266,1738,1738,1738,False,False
BBC,bbc,4,1.5,200,20,6,10,60,2,15265.927350560896,0.07665014266967773,0.0,0.0,True,4,17,0.85,812.4871888282343,16065.927350560898,800.0,130,1.0,15265.927350560898,1266,1738,1738,1868,True,False
BBC-Paper,bbc_paper,4,1.5,200,20,6,10,60,2,15265.927350560896,0.06915402412414551,0.0,0.0,True,4,17,0.85,812.4871888282343,16065.927350560898,800.0,124,1.0,15265.927350560898,1266,1739,1739,1863,True,True
BBC-NoCuts,bbc_no_cuts,5,1.5,50,20,6,10,60,2,18227.339264524468,0.017584800720214844,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,250.0,0,1.0,18227.339264524468,1266,1673,1673,1673,False,False
BBC,bbc,5,1.5,50,20,6,10,60,2,18227.339264524464,0.0061435699462890625,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,250.0,2,1.0,18227.339264524468,1266,1673,1673,1675,True,False
BBC-Paper,bbc_paper,5,1.5,50,20,6,10,60,2,18227.339264524464,0.006955862045288086,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,250.0,2,1.0,18227.339264524468,1266,1674,1674,1676,True,True
BBC-NoCuts,bbc_no_cuts,5,1.5,100,20,6,10,60,2,17977.339264524468,0.0,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,500.0,0,1.0,17977.339264524468,1266,1673,1673,1673,False,False
BBC,bbc,5,1.5,100,20,6,10,60,2,17977.339264524464,0.00603032112121582,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,500.0,2,1.0,17977.339264524468,1266,1673,1673,1675,True,False
BBC-Paper,bbc_paper,5,1.5,100,20,6,10,60,2,17977.339264524464,0.00629734992980957,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,500.0,2,1.0,17977.339264524468,1266,1674,1674,1676,True,True
BBC-NoCuts,bbc_no_cuts,5,1.5,200,20,6,10,60,2,17477.339264524468,0.020513534545898438,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,1000.0,0,1.0,17477.339264524468,1266,1673,1673,1673,False,False
BBC,bbc,5,1.5,200,20,6,10,60,2,17477.339264524464,0.005361080169677734,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,1000.0,2,1.0,17477.339264524468,1266,1673,1673,1675,True,False
BBC-Paper,bbc_paper,5,1.5,200,20,6,10,60,2,17477.339264524464,0.0065097808837890625,0.0,0.0,True,5,19,0.95,933.6179588576656,18477.339264524464,1000.0,2,1.0,17477.339264524468,1266,1674,1674,1676,True,True
